ACCOUNT_TYPE,CUSTOMER_TAG,EDUCATION_LEVEL,GENDER,INTERNET_BANKING_USAGE,MARITAL_STATUS,NOMINEE_AVAILABLE_FLAG,RM_ALLOCATED_FLAG,OCCUPATION,STATE,FD_FLAG,GI_FLAG,HEALTH_FLAG,LI_FLAG,MASS_FLAG,MF_FLAG,NR_FLAG,ACCOUNT_NO,AGE,AQB_BALANCE,AUM,CIBIL_SCORE,CREDIT_CARD_LIMIT,CR_AMT_12MNTH,CR_CNT_12MNTH,DC_APPAREL_30DAYS_ACTV,DC_ECOM_30DAYS_AMT,DC_ECOM_30DAYS_CNT,DC_FOOD_30DAYS_ACTV,DC_FUEL_30DAYS_ACTV,DC_GROCRY_30DAYS_ACTV,DC_OTT_30DAYS_ACTV,DC_POS_30DAYS_AMT,DC_POS_30DAYS_CNT,DC_RECHARGE_30DAYS_ACTV,DC_TRAVEL_30DAYS_ACTV,DC_UTILITY_30DAYS_ACTV,DR_AMT_12MNTH,DR_CNT_12MNTH,DR_CR_RATIO,FD_COUNT,FD_CURRENTMONTHANR,INCOME_NET,MONTHLY_BALANCE,NRV,TOTAL_LIVE_SECURED_AMT,TOTAL_LIVE_UNSECURED_AMT,VINTAGE_DAYS,KYC_LAST_DONE_DATE
SAVINGS,RETAIL,Graduate,FEMALE,Y,Married,Y,Y,BUSINESS OWNER,Maharashtra,N,Y,Y,Y,N,N,Y,10,88,6499520.981658891,3229426,386,46129191,22159394,16,8,335695,411,10,8,10,6,2331089,68,8,6,5,8732871.484901248,18,0.30191927119295636,10,4453985.591948612,8671353.257982679,958.3984204886153,8447274.53842007,2366768.0260151736,9732240.749898368,211,2022-01-31
SAVINGS,INSTITUTIONAL,PG,FEMALE,N,Single/Unmarried,Y,Y,SELF EMPLOYED,Delhi,Y,N,N,N,N,N,Y,11,24,7537682.020450523,731586,880,755002,10457873,16,6,473262,322,0,9,2,7,404238,58,9,10,8,5088336.539385071,14,0.6366422213859007,17,2931253.5171240917,8033636.40522421,6923792.058645537,3689771.929695602,3972668.4769908614,3227010.378837877,60,2022-10-24
SAVINGS,INSTITUTIONAL,PG,MALE,N,Divorced/Separated,Y,Y,BUSINESS OWNER,Madhya Pradesh,N,Y,Y,Y,N,Y,Y,12,3,6220091.888089806,553392,679,905772,37780948,7,2,638284,425,5,10,1,4,3574893,53,10,3,8,2850974.900460612,20,0.0043064547563063105,1,9530054.811214255,107824.7162922874,6460756.017539756,8986176.62385671,9840264.261821082,1652895.0466009863,155,2020-08-20
SAVINGS,RETAIL,PG,FEMALE,Y,Married,Y,Y,SELF EMPLOYED,Haryana,Y,Y,N,Y,N,Y,Y,13,22,5400793.219221958,999797,837,36832553,42729539,16,2,522096,152,5,5,7,3,1886666,4,3,6,8,8525907.561435,4,0.055149536680676015,19,8143654.321606036,1345119.8401910192,7722805.821863224,7738880.704398083,5636305.368259781,8593097.275047805,292,2023-03-20
SAVINGS,RETAIL,PG,MALE,N,Married,Y,Y,SALARIED,West Bengal,Y,Y,Y,Y,N,N,Y,14,53,7496142.843877735,4471218,712,4408950,29835452,20,4,38897,288,7,10,5,4,2389508,48,10,6,8,1419644.192215118,17,0.7962423895585059,0,9590019.668593688,9829197.723626679,8057364.883169887,431271.69298126653,7725407.57300096,3406079.2657531323,122,2021-04-06
SAVINGS,RETAIL,Graduate,MALE,N,Married,Y,Y,SELF EMPLOYED,Maharashtra,N,Y,N,N,N,Y,N,15,2,7275630.354322007,915182,817,48691179,1884842,19,6,24592,96,0,4,10,0,196353,19,4,10,2,3528076.9432976376,5,0.20251144489759632,14,6898196.560384753,3773150.7520440975,9888890.417809239,2292647.7925158273,6252343.198778112,6926585.517762682,151,2021-02-21
CURRENT,INSTITUTIONAL,UG,MALE,N,Married,Y,Y,BUSINESS OWNER,Rajasthan,Y,N,Y,Y,Y,Y,N,16,88,6298724.0018317895,3005829,594,2143124,41233290,20,6,2443,406,3,9,5,5,180899,53,10,6,1,1689436.2011830676,8,0.8590140084987168,12,2381017.396535422,1822516.2175924724,8639584.255032828,3883027.681176557,8119417.356488955,1456320.8896219803,164,2023-10-18
SAVINGS,INSTITUTIONAL,PG,FEMALE,N,Single/Unmarried,Y,Y,SALARIED,Gujarat,N,Y,Y,Y,N,N,N,17,30,3597894.133819296,5712089,559,16190460,43682882,12,8,1313867,347,0,9,7,10,2315144,76,10,8,3,8714083.614847183,18,0.9887957280489781,4,8040398.931524955,3588459.07515574,9191835.678734275,5084877.973794408,2065579.4359915648,195051.19743164268,211,2023-04-16
SAVINGS,RETAIL,UG,MALE,Y,Married,Y,Y,NON-EARNER,Assam,N,N,N,N,N,N,Y,18,38,4058120.922002716,3647282,683,41767554,22852530,12,0,8424,308,8,10,4,9,1356922,72,1,10,6,4378896.810535901,20,0.7333680953576488,12,8973146.787385736,9421994.764836144,5956752.1051855385,2619105.057091349,208538.2664533575,9496766.043543648,34,2022-12-04
SAVINGS,INSTITUTIONAL,UG,FEMALE,N,Married,Y,Y,SALARIED,Andhra Pradesh,Y,N,N,Y,Y,Y,Y,19,2,9704385.488840975,8013349,603,38314378,7120179,14,2,1291259,143,5,7,10,4,752071,77,6,0,8,2937238.2889361894,1,0.8343700878051938,13,3501454.4069368625,7836535.050576784,7875781.838185781,6869117.093302648,3849728.382545489,1616064.8452798943,74,2021-07-02
SAVINGS,RETAIL,UG,MALE,N,Single/Unmarried,Y,Y,SELF EMPLOYED,Tamil Nadu,N,Y,N,Y,N,N,N,20,64,1123859.3229152584,1103754,615,11464241,18484342,17,0,963230,420,6,5,4,4,1869086,12,0,8,5,8559483.14431955,18,0.46878386925571314,6,698633.8790278912,358964.60037052934,8783636.664491216,6690127.666802598,2913002.159877175,7783834.993700292,90,2021-08-10
SAVINGS,RETAIL,Below 10th,FEMALE,Y,Married,Y,Y,SELF EMPLOYED,Maharashtra,N,Y,Y,N,Y,N,N,21,60,2685049.172528353,881587,376,14727255,41238186,12,5,1487986,388,0,7,6,4,2266670,96,2,3,4,9036409.957547761,5,0.3117647201667847,3,6082270.909983826,3289901.1319059846,910588.8772672266,4950067.477999431,7104763.103413747,7726330.283634646,273,2020-06-16
SAVINGS,INSTITUTIONAL,UG,FEMALE,N,Married,N,Y,SALARIED,Bihar,Y,Y,Y,Y,Y,Y,Y,22,21,4924017.592043357,8933724,678,21813780,29695161,7,9,832257,234,9,0,5,8,167517,47,4,3,5,970090.5242799262,2,0.6454227563217153,18,540502.5438256561,5953028.039393901,2357111.7082807645,2070926.5473507955,3767955.4457153864,1728834.5586257149,86,2022-02-24
SAVINGS,INSTITUTIONAL,PG,MALE,Y,Married,Y,Y,BUSINESS OWNER,Punjab,Y,N,N,Y,Y,N,N,23,33,8367296.861437858,4997907,760,33040280,2782157,6,6,1459948,138,3,3,2,8,1518007,86,8,3,0,6020484.730452116,20,0.16927264972278122,0,4021672.779324609,1090931.8555247881,1475896.415205653,6049207.687641241,6361947.643570238,6371138.853822435,81,2021-10-19
SAVINGS,INSTITUTIONAL,Graduate,MALE,Y,Single/Unmarried,Y,Y,BUSINESS OWNER,Delhi,N,N,N,N,N,N,N,24,76,1636756.6372972785,3600409,355,6700419,30764018,18,1,295007,267,10,9,3,7,2539021,93,4,4,5,5551191.466347197,15,0.18584851882044673,17,5761921.561792655,1086353.9010246347,2288937.1945653204,9826561.277252767,8134073.771242297,6504854.759976467,315,2022-02-12
CURRENT,RETAIL,PG,MALE,Y,Single/Unmarried,Y,Y,SELF EMPLOYED,Maharashtra,Y,Y,N,N,Y,Y,Y,25,58,2769546.1812460986,6152561,380,9241319,9698286,9,8,155921,276,6,4,1,9,2497210,62,5,0,1,8337379.955763474,4,0.7511578064944378,3,5082142.777806806,6713035.864989596,5976497.176729067,2013967.1436182582,9525231.940306349,956538.8758699145,51,2023-01-27
SAVINGS,RETAIL,Graduate,MALE,Y,Single/Unmarried,Y,Y,BUSINESS OWNER,Gujarat,N,Y,Y,N,Y,Y,N,26,22,657982.1779523898,6814733,475,11868540,16922218,11,4,679683,401,3,3,7,8,2231318,81,7,3,0,5048024.6957674315,19,0.17458337451865913,12,3764712.51799014,4783976.519214202,7157583.033486459,8800363.88087861,458103.440340919,1603222.0772155847,22,2022-12-26
SAVINGS,RETAIL,PG,FEMALE,N,Married,Y,Y,BUSINESS OWNER,Maharashtra,Y,Y,N,Y,Y,Y,Y,27,89,7059852.660508185,3847354,682,20133418,12154801,1,2,1462165,141,10,5,5,4,2007366,81,4,5,9,922018.4645945651,19,0.9885586558214283,13,6059499.1258485485,7646964.29847002,6955576.66653813,7198060.002006128,6713544.288854134,3687350.287588136,95,2022-09-05
SAVINGS,INSTITUTIONAL,UG,MALE,N,Married,Y,N,BUSINESS OWNER,Karnataka,Y,Y,N,N,Y,Y,Y,28,49,2382094.354756161,5944179,448,29923758,44436003,13,6,910711,288,4,6,6,1,385044,42,6,3,3,9724540.554902343,4,0.7547259125293262,9,936131.2841394054,4454411.587267309,7199595.120853635,1700912.8733610879,5538137.640297518,921962.4688978378,348,2020-02-10
SAVINGS,INSTITUTIONAL,Below 10th,MALE,Y,Married,Y,Y,SALARIED,Gujarat,N,Y,Y,Y,Y,N,N,29,91,3886747.506709505,6305658,580,343995,21452123,9,6,272356,148,0,10,4,1,1674183,99,8,4,4,5474973.00779146,8,0.9134958386138492,18,6336964.255671449,1759653.9488835628,7959553.944620098,3972770.9562055212,9948033.236412456,8300760.897299851,97,2023-02-02
CURRENT,RETAIL,Graduate,MALE,Y,Married,Y,Y,SELF EMPLOYED,Maharashtra,N,Y,Y,Y,N,N,N,30,59,4437014.470296678,1741078,644,12809431,41745298,16,0,1371634,409,2,10,6,9,2526659,77,5,0,0,6359767.1247815555,9,0.4851300810368757,6,5084122.321425736,1898956.539170852,5707532.885524803,5643901.684686078,3257481.7680875445,7093693.02197133,172,2021-10-19
SAVINGS,RETAIL,PG,MALE,Y,Married,Y,Y,SELF EMPLOYED,Gujarat,Y,Y,Y,N,Y,Y,Y,31,42,8913139.356064556,1135943,708,45719254,6554818,12,5,95009,472,7,7,3,7,2271943,11,3,9,10,519777.21503643994,19,0.5055521018567007,19,646642.4166072549,6064677.930671951,9865390.806466218,7625333.974643383,6868143.320262866,228264.80471090483,174,2023-05-09
CURRENT,RETAIL,Graduate,MALE,Y,Single/Unmarried,Y,Y,SELF EMPLOYED,Uttar Pradesh,Y,N,N,N,Y,Y,Y,32,92,4113302.903312368,6874790,329,35197106,14374667,0,2,1206447,487,10,7,9,2,1859688,38,8,8,2,8010672.501489904,13,0.823438083563404,13,7567882.755265809,4126546.141316213,5870892.339392284,5358893.68987718,971523.6980198261,6728097.844421331,16,2022-03-20
CURRENT,RETAIL,PG,MALE,Y,Married,Y,Y,NON-EARNER,Punjab,Y,Y,N,Y,N,Y,Y,33,60,1452250.1991524906,2549640,721,37516430,23918551,14,6,1425022,408,8,4,3,0,1886282,90,2,6,8,9038984.470077066,20,0.5513596236997921,8,8430277.255637815,421262.8892046455,3200656.703612461,693505.1169552065,7635905.260345939,5973500.697853091,19,2023-03-05
SAVINGS,INSTITUTIONAL,UG,FEMALE,N,Married,Y,Y,SALARIED,Rajasthan,N,N,Y,N,Y,Y,N,34,80,5243149.3834012095,9064407,530,33017657,35675968,0,4,138949,34,7,7,10,1,242711,56,2,7,8,2898523.84766913,6,0.030252854141187724,14,7930325.939260401,8867810.09399429,3276082.6988015925,418358.8431564034,7056278.426977207,7326200.994697141,150,2022-05-15
CURRENT,INSTITUTIONAL,Graduate,MALE,Y,Single/Unmarried,Y,Y,SALARIED,Telangana,Y,N,N,N,N,N,N,35,15,9629579.946486296,2054569,658,7954649,24944207,14,3,244074,62,10,2,1,5,2319496,92,10,7,8,2874339.487535693,0,0.41141333110804323,13,2300773.6683654943,5857884.739307457,2784093.105983926,1520645.7020376595,2813679.8888690807,9138514.841443678,160,2023-07-20
SAVINGS,INSTITUTIONAL,Below 10th,MALE,N,Married,Y,Y,SALARIED,Uttarakhand,Y,N,Y,Y,Y,Y,Y,36,62,6076856.41050811,8786875,461,25071102,27602397,19,9,753355,113,3,2,7,6,507344,70,9,9,1,2037570.104853753,14,0.6830926581812635,5,3324004.2156301066,7501646.531963491,9590454.779565657,1811385.3389154456,5131508.242019932,4179086.357141827,191,2022-11-28
SAVINGS,INSTITUTIONAL,Below 10th,MALE,Y,Married,Y,Y,SALARIED,West Bengal,N,N,Y,Y,N,N,N,37,62,9833872.204605727,9355586,527,10343387,13648153,14,6,755607,372,9,0,6,9,570129,78,1,7,9,5452186.140462094,2,0.2922715303558422,15,6048848.735290712,4442017.128881243,665518.6768952193,1461668.5385377314,5705775.743898763,5691525.759010273,49,2021-11-16
CURRENT,INSTITUTIONAL,Below 10th,FEMALE,N,Single/Unmarried,Y,Y,SALARIED,Out of India,Y,Y,Y,Y,Y,Y,Y,38,47,8411073.0893887,5318484,520,49626170,47358581,13,6,333178,374,0,9,3,5,3843220,82,10,10,7,214059.28043200183,5,0.03034336524127912,18,7011409.19387148,4646435.5222060615,4240669.232692834,1392990.6754629805,8090957.286392003,3328829.253742591,54,2022-04-08
SAVINGS,INSTITUTIONAL,UG,MALE,N,Single/Unmarried,Y,Y,SELF EMPLOYED,Tamil Nadu,Y,N,N,N,N,Y,Y,39,62,359657.562134128,6551864,372,33602905,21924258,12,7,837468,124,3,0,2,0,1107422,8,5,3,8,1280252.4630719346,10,0.668088525458615,17,5839894.372525081,368093.381737854,8458577.890360586,1626851.103697513,4733788.130672088,8922278.802977366,202,2023-11-05
SAVINGS,INSTITUTIONAL,PG,FEMALE,Y,Married,Y,Y,NON-EARNER,Maharashtra,N,N,Y,Y,N,Y,N,40,51,6583995.953770419,1813241,698,23573036,26898654,1,4,1364397,147,5,0,0,0,2420616,83,10,7,6,6118763.123210356,16,0.8029215458913707,18,7200255.440979672,3882773.9038438736,6213219.624510622,5092060.076566444,3484462.452978159,9201651.673755445,192,2023-04-27
SAVINGS,RETAIL,Below 10th,MALE,N,Married,Y,Y,NON-EARNER,Maharashtra,Y,N,N,N,N,Y,Y,41,55,2867668.7755788364,5444369,394,27434945,37654607,7,3,820833,318,1,9,4,5,559020,61,10,8,9,4851163.291700166,16,0.3544380638645379,12,6033283.07687387,1516393.3855246503,7929448.2954654535,919540.0653828867,6774216.573494675,6102809.124568585,260,2020-07-28
SAVINGS,RETAIL,PG,MALE,N,Married,N,Y,SALARIED,West Bengal,Y,Y,Y,Y,Y,Y,N,42,64,5596168.556447239,9478366,774,40119714,41718585,8,0,402738,193,6,10,5,6,2970209,21,1,2,5,7447578.306555363,12,0.21717656733498159,6,3813425.9794159685,3102753.6329939156,1904206.620091886,5658047.138551606,4772542.6460791845,9067476.42409336,284,2021-03-12
SAVINGS,INSTITUTIONAL,UG,MALE,N,Married,Y,Y,BUSINESS OWNER,Odisha,N,N,Y,N,N,Y,N,43,3,2793451.9093122655,194661,394,27677919,5045916,18,3,1092511,104,2,2,2,0,1119312,35,10,6,7,7424502.739343189,13,0.9571014304641785,13,4480141.688726659,8842554.81570618,3114478.049822832,920114.3252176513,9687827.563648753,1669676.07459777,331,2022-08-10
CURRENT,RETAIL,Below 10th,FEMALE,N,Single/Unmarried,Y,Y,NON-EARNER,Bihar,N,Y,N,Y,N,N,N,44,51,3488704.166052904,6012589,423,40033629,40136072,18,10,1194399,117,7,7,10,7,3256724,95,1,10,6,4344786.409627199,14,0.5929979942175423,16,6454685.574820639,1893638.8172455076,1774031.95225593,8702692.287145346,8718291.574244369,3656312.3424275257,200,2023-05-24
SAVINGS,INSTITUTIONAL,Graduate,MALE,Y,Single/Unmarried,Y,Y,SALARIED,Bihar,N,N,Y,N,N,Y,N,45,7,9231687.117541794,1506164,799,41213549,19336056,8,9,852104,254,3,8,9,4,3224278,2,2,6,9,6754804.696833826,19,0.1121845689411971,7,2844695.649805633,9533791.999786006,5995056.659719951,5038091.913692045,4001749.4818863184,7019153.536078107,326,2021-05-07
SAVINGS,INSTITUTIONAL,UG,MALE,Y,Married,Y,Y,SALARIED,Karnataka,Y,N,N,Y,N,N,N,46,21,2066431.848917053,3197100,347,48697151,12608839,6,0,1004601,242,8,2,8,2,2494635,81,2,5,5,8599679.327785125,16,0.40875404015719663,0,1366591.8856608372,8200205.289018115,1232870.9360284284,4737195.440523389,7278006.11487453,7279329.955439188,293,2022-10-27
SAVINGS,INSTITUTIONAL,Graduate,MALE,N,Single/Unmarried,Y,Y,SALARIED,Maharashtra,Y,N,Y,Y,Y,Y,Y,47,73,8741091.180258304,7847763,394,46935891,47707137,13,6,1254307,395,0,7,9,5,2061692,15,1,1,7,5970563.687683192,7,0.4413460497131062,12,8532231.481471952,4951823.023788695,7228835.107560716,9109974.950501427,4257509.924763542,5523903.326270884,356,2023-11-08
SAVINGS,RETAIL,Below 10th,MALE,N,Married,Y,Y,BUSINESS OWNER,Uttar Pradesh,N,Y,Y,N,N,Y,N,48,39,304578.0807049681,7933406,776,2672377,16266442,1,5,624533,31,9,10,9,4,3826211,2,1,2,2,9684260.082940858,10,0.4050192360571996,14,9936897.699186604,9687278.583238477,8404041.311889915,7510630.354236597,136166.74725882016,4045052.791216338,254,2022-05-06
SAVINGS,RETAIL,Below 10th,FEMALE,N,Single/Unmarried,Y,Y,SELF EMPLOYED,Andhra Pradesh,Y,Y,Y,N,Y,Y,Y,49,18,908765.3836964838,9721491,332,2928716,14002433,11,6,301836,106,0,9,8,9,1797345,75,5,6,4,9936673.470022447,18,0.1240571228402938,17,9212602.091379732,6870174.288418937,2137829.463366817,4638957.915450714,4483914.576249978,6055121.269898345,20,2023-03-30
CURRENT,INSTITUTIONAL,UG,FEMALE,N,Single/Unmarried,Y,Y,BUSINESS OWNER,Bihar,N,Y,Y,N,Y,N,N,50,4,8546750.413842635,8770368,417,38466134,1355118,10,7,1188008,96,4,0,5,5,215881,87,7,10,8,5132153.691514646,8,0.9292326526215429,17,1346351.9450773264,2015801.058396123,7952637.055527425,9825264.56280584,9041297.213630639,2130135.3202220853,333,2021-11-21
SAVINGS,INSTITUTIONAL,Below 10th,FEMALE,Y,Single/Unmarried,Y,Y,SELF EMPLOYED,Madhya Pradesh,Y,Y,Y,N,N,Y,Y,51,89,6305560.309091954,226283,550,48508665,4545681,16,5,834155,303,8,2,4,0,736093,57,9,9,5,2604162.2845532717,20,0.8948134265270455,17,436883.5042179686,679653.8340963409,2915087.733779339,5368353.066656555,8312657.744807109,7168934.742827521,104,2021-07-27
CURRENT,RETAIL,UG,FEMALE,Y,Married,Y,Y,SALARIED,Telangana,N,N,Y,N,Y,Y,Y,52,60,7472361.380395503,8968491,602,21066959,48063300,1,1,745933,478,5,0,1,5,51491,74,9,7,0,7880422.49677962,19,0.8588256549516613,13,6507357.61047343,7603277.502757626,1742734.0137579795,2194145.667571783,1087101.688872003,8665402.793414745,134,2022-12-06
CURRENT,INSTITUTIONAL,Below 10th,FEMALE,N,Single/Unmarried,Y,Y,BUSINESS OWNER,Tamil Nadu,Y,Y,Y,N,Y,Y,N,53,14,2094176.7082185426,3696608,421,20243614,23907705,11,1,1331609,480,10,9,5,0,1821599,22,3,10,3,1740888.844489301,12,0.8144024443306939,9,4242700.626493582,8287784.7056736285,9627522.185827881,8090971.461973019,3739815.471930119,2050665.3814111652,114,2022-09-12
SAVINGS,INSTITUTIONAL,UG,MALE,Y,Divorced/Separated,Y,Y,BUSINESS OWNER,Bihar,Y,N,N,N,N,N,Y,54,9,5370834.555901035,6529141,517,24789515,4961720,14,8,1007479,253,1,8,4,4,1161370,32,3,10,10,7739206.112003276,6,0.5575153258935293,7,6238543.958744077,4749228.935558426,1176819.210680391,4051024.2833088906,5458443.200457682,861677.6081384347,58,2020-12-11
SAVINGS,RETAIL,Below 10th,MALE,Y,Married,Y,Y,SALARIED,Telangana,Y,N,N,Y,Y,Y,Y,55,90,7372192.235713048,894737,352,44633312,45211030,7,5,1023359,375,8,2,2,4,3416567,67,10,6,0,4436826.639945783,2,0.6024722311487499,11,447909.39495450543,2703677.288447235,3995932.819250334,3895580.7860268797,6820911.481657063,4572230.044835927,214,2020-09-19
SAVINGS,INSTITUTIONAL,PG,MALE,Y,Single/Unmarried,Y,Y,BUSINESS OWNER,Assam,Y,Y,Y,N,N,Y,Y,56,53,6273141.370102625,9788590,425,30930277,603922,7,5,945596,186,6,9,10,5,1977664,60,5,7,4,7787002.968858731,2,0.7880794161832717,6,8109026.0010184,498454.0205939314,4220414.022783667,2079111.5533147387,4422946.219798421,3280889.325914178,262,2020-07-30
SAVINGS,INSTITUTIONAL,Graduate,FEMALE,N,Married,Y,Y,NON-EARNER,Maharashtra,Y,Y,Y,Y,Y,N,N,57,2,4716987.668912095,9144478,458,45669164,40052754,17,0,74283,275,4,9,9,9,1159376,13,4,2,10,2979814.1390943234,1,0.21196502451873744,15,726038.2037326108,6037510.768438445,4688102.452239979,2325292.9219670906,9409838.465155128,4010834.7289223787,88,2020-09-25
SAVINGS,RETAIL,UG,MALE,Y,Married,Y,Y,SELF EMPLOYED,Tamil Nadu,Y,N,N,N,Y,N,N,58,84,9597837.864377148,6325474,900,15094143,24267705,13,7,451157,104,6,4,2,9,2320427,37,3,6,0,4545972.276239672,1,0.4641331494341465,5,4512596.707843563,3429802.892405963,7759452.819295407,9680750.931606406,8705349.2085959,8260480.803539042,223,2021-05-29
CURRENT,INSTITUTIONAL,PG,FEMALE,Y,Married,Y,Y,SELF EMPLOYED,Delhi,N,Y,Y,N,N,N,N,59,92,6761573.334534453,7655334,475,34577951,21600111,9,10,338717,356,10,10,0,7,789704,72,10,5,10,8360675.989637467,13,0.3807083260861124,2,6441110.883010525,4439521.419762799,4106715.084796343,2800784.8001446645,4591954.363015688,9722099.643742993,285,2023-11-16
SAVINGS,INSTITUTIONAL,Below 10th,FEMALE,N,Single/Unmarried,Y,Y,SALARIED,Delhi,Y,Y,N,N,N,Y,Y,60,60,9077508.002412379,257061,591,13243957,725970,3,7,711244,292,8,9,8,6,739537,97,4,2,1,3395749.848284193,12,0.5157341424734156,16,5300700.41880067,3230435.3580576526,5354132.2080167765,1741092.0452497313,8628619.050504252,764078.6399363697,320,2021-07-15
